station_id,model,lead_hours,n_samples,bias_c,mae_c,rmse_c,error_std_c
EGLC,ukmo_global_deterministic_10km,36,89,-0.5707865168539328,1.1168539325842697,1.511677392609231,1.4077062457635092
EGLC,ukmo_global_deterministic_10km,42,89,-0.649438202247191,1.2404494382022468,1.595499287849446,1.4655997527777445
EGLC,ukmo_global_deterministic_10km,48,89,-0.7325842696629213,1.2876404494382023,1.6306750515033661,1.465107448813201
EGLC,ukmo_global_deterministic_10km,54,88,-0.8204545454545453,1.309090909090909,1.7032055339591552,1.501122881697602
EGLC,ukmo_global_deterministic_10km,60,88,-0.8556818181818181,1.3465909090909092,1.7253128833503055,1.5067555121713427
EGLC,ukmo_global_deterministic_10km,72,88,-0.9011363636363634,1.3943181818181818,1.7318867798392068,1.4874566983502695
EGLC,ukmo_global_deterministic_10km,84,87,-0.9643678160919539,1.3712643678160918,1.771777469745806,1.4949509606559357
EGLC,ukmo_global_deterministic_10km,96,87,-0.8632183908045978,1.3275862068965518,1.711657125402903,1.4866158652525663
EGLC,ukmo_global_deterministic_10km,108,86,-1.0732558139534882,1.6453488372093024,2.118989447606988,1.8378007584901517
EGLC,ukmo_global_deterministic_10km,120,86,-0.9162790697674418,1.6465116279069767,2.1608568498587304,1.968448804941195
EGLC,ukmo_global_deterministic_10km,132,85,-1.1894117647058822,1.9517647058823526,2.6253291110214105,2.3543285125695688
EGLC,ukmo_global_deterministic_10km,144,85,-1.2611764705882353,1.9317647058823528,2.7329363652435426,2.4389251202726414
EGLC,ukmo_global_deterministic_10km,156,84,-1.5880952380952382,2.361904761904762,3.1495275533838103,2.7361658497038306
EGLC,ukmo_global_deterministic_10km,168,84,-1.7535714285714288,2.6726190476190474,3.3623794012715518,2.886129956770244
EGLC,ukmo_uk_deterministic_2km,3,89,-3.892134831460674,3.892134831460674,4.410253629741909,2.085786570571766
EGLC,ukmo_uk_deterministic_2km,6,89,-1.5853932584269663,1.6213483146067418,2.1175828917354775,1.4117647371767907
EGLC,ukmo_uk_deterministic_2km,9,89,-0.17415730337078655,0.5584269662921347,0.8021740123361113,0.787476996761816
EGLC,ukmo_uk_deterministic_2km,12,89,-0.04719101123595517,0.6224719101123596,0.8513043528160744,0.8548112348296617
EGLC,ukmo_uk_deterministic_2km,15,89,-0.1112359550561798,0.7606741573033708,1.0196386229190784,1.0192954565696113
EGLC,ukmo_uk_deterministic_2km,18,89,-0.35280898876404493,0.8359550561797754,1.0878284729298338,1.0348572461544077
